Date (GMT),Job Title,Job Location,Type,Title,Company,Company Profile,LANG,link
2023-02-23 17:27,Programmeur,Quebec,Logiciel,Developpeur Logiciel Junior,ALTEN Canada,https:--ca.linkedin.com-company-alten-canada?trk=public_jobs_topcard-org-name,,/textFiles/ALTEN Canada - Developpeur Logiciel Junior.txt
2023-02-23 17:33,Developpeur,Quebec,Logiciel,Developpeur Progress,Astek Canada,https:--ca.linkedin.com-company-astek-canada?trk=public_jobs_topcard-org-name,,/textFiles/Astek Canada - Developpeur Progress.txt
2023-02-23 17:33,Developpeur,Quebec,Web,Developpeur Web,ATECNA Montreal,https:--ca.linkedin.com-company-atecna-montreal?trk=public_jobs_topcard-org-name,,/textFiles/ATECNA Montreal - Developpeur Web.txt
2023-02-23 17:27,Programmeur,Quebec,Logiciel,Developpeur(se) - programmeur,Barrette Structural,https:--ca.linkedin.com-company-barrette-structural?trk=public_jobs_topcard-org-name,,/textFiles/Barrette Structural - Developpeur(se) - programmeur.txt
2023-02-23 17:12,Developpeur,Quebec,Web,Developpeur-Developpeuse Systeme,Busbud,https:--ca.linkedin.com-company-busbud?trk=public_jobs_topcard-org-name,,/textFiles/Busbud - Developpeur-Developpeuse Systeme.txt
2023-02-23 17:12,Developpeur,Quebec,Web,Developpeur Javascript (H-F),Extia,https:--fr.linkedin.com-company-extia?trk=public_jobs_topcard-org-name,,/textFiles/Extia - Developpeur Javascript (H-F).txt
2023-02-23 17:33,Developpeur,Quebec,Web,Web Developer - Developpeur Web,FlightHub,https:--ca.linkedin.com-company-flighthub?trk=public_jobs_topcard-org-name,,/textFiles/FlightHub - Web Developer - Developpeur Web.txt
2023-02-23 17:12,Developpeur,Quebec,Logiciel,Software Developer - Developpeur logiciel - Computer Vision,Genetec,https:--ca.linkedin.com-company-genetec?trk=public_jobs_topcard-org-name,,/textFiles/Genetec - Software Developer - Developpeur logiciel - Computer Vision.txt
2023-02-23 17:12,Developpeur,Quebec,Logiciel,Developpeur logiciel - Software Developer - C#-C++,Genetec,https:--ca.linkedin.com-company-genetec?trk=public_jobs_topcard-org-name,,/textFiles/Genetec - Developpeur logiciel - Software Developer - C#-C++.txt
2023-02-23 17:12,Developpeur,Quebec,Mobile,Mobile Developer - Developpeur Mobile,Genetec,https:--ca.linkedin.com-company-genetec?trk=public_jobs_topcard-org-name,,/textFiles/Genetec - Mobile Developer - Developpeur Mobile.txt
