"Job Location","Title","Company","Description","link"
"Montreal, Quebec, Canada","Developeur senior back-end - plateformes payantes","MindGeek","","/textFiles/MindGeek - Developeur senior back-end - plateformes payantes.txt"
"Laval, Quebec, Canada","Developeur Full-Stack","Randstad Canada","","/textFiles/Randstad Canada - Developeur Full-Stack.txt"
"Laval, Quebec, Canada","Developpeur Front-end - React","Randstad Canada","","/textFiles/Randstad Canada - Developpeur Front-end - React.txt"
"Montreal, Quebec, Canada","Software Developer","Maples Group","","/textFiles/Maples Group - Software Developer.txt"
"Montreal, Quebec, Canada","Java Software Developer","Intrado Life & Safety","","/textFiles/Intrado Life & Safety - Java Software Developer.txt"
"Montreal, Quebec, Canada","DevOps Engineer","Experience AI Solutions","","/textFiles/Experience AI Solutions - DevOps Engineer.txt"
"Saint-Eustache, Quebec, Canada","Senior Embedded Software Developer","Randstad Canada","","/textFiles/Randstad Canada - Senior Embedded Software Developer.txt"
"Montreal, Quebec, Canada","Developpeur Web","ATECNA Montreal","","/textFiles/ATECNA Montreal - Developpeur Web.txt"
"Montreal, Quebec, Canada","Developpeur.se junior - Junior Developer","LIDD Consultants","","/textFiles/LIDD Consultants - Developpeur.se junior - Junior Developer.txt"
"Montreal, Quebec, Canada","Developpeur-Developpeuse Fullstack","Busbud","","/textFiles/Busbud - Developpeur-Developpeuse Fullstack.txt"
"Montreal, Quebec, Canada","Developpeur embarque C++","Logient","","/textFiles/Logient - Developpeur embarque C++.txt"
"Montreal, Quebec, Canada","Developpeur Montreal","Vooban","","/textFiles/Vooban - Developpeur Montreal.txt"
"Montreal, Quebec, Canada","Developpeur - developpeuse Web fullstack","Mirego","","/textFiles/Mirego - Developpeur - developpeuse Web fullstack.txt"
"Montreal, Quebec, Canada","Developpeur - PHP","MindGeek","","/textFiles/MindGeek - Developpeur - PHP.txt"
"Montreal, Quebec, Canada","Software Developer - Developpeur logiciel - C#-Web","Genetec","","/textFiles/Genetec - Software Developer - Developpeur logiciel - C#-Web.txt"
"Montreal, Quebec, Canada","Developpeur WEB Front-end","LEDUConseils","","/textFiles/LEDUConseils - Developpeur WEB Front-end.txt"
"Montreal, Quebec, Canada","Developpeur Javascript (H-F)","Extia","","/textFiles/Extia - Developpeur Javascript (H-F).txt"
"Montreal, Quebec, Canada","Mobile Developer - Developpeur Mobile","Genetec","","/textFiles/Genetec - Mobile Developer - Developpeur Mobile.txt"
"Montreal, Quebec, Canada","Software Developer - Developpeur logiciel - C#-.NET","Genetec","","/textFiles/Genetec - Software Developer - Developpeur logiciel - C#-.NET.txt"
"Montreal, Quebec, Canada","Developpeur Python","Logient","","/textFiles/Logient - Developpeur Python.txt"
"Montreal, Quebec, Canada","Developpeur mobile (H-F) à Montreal","Sully Group","","/textFiles/Sully Group - Developpeur mobile (H-F) à Montreal.txt"
"Montreal, Quebec, Canada","Developpeur PHP (H-F) à Montreal","Sully Group","","/textFiles/Sully Group - Developpeur PHP (H-F) à Montreal.txt"
"Montreal, Quebec, Canada","Software Developer - Developpeur logiciel - Access Control","Genetec","","/textFiles/Genetec - Software Developer - Developpeur logiciel - Access Control.txt"
"Montreal, Quebec, Canada","PHP - Developpeur - Plateforme de Partage Video","MindGeek","","/textFiles/MindGeek - PHP - Developpeur - Plateforme de Partage Video.txt"
"Montreal, Quebec, Canada","Developpeur Intermediaire - Intermediate Developer","L'Atelier Animation Inc.","","/textFiles/L'Atelier Animation Inc. - Developpeur Intermediaire - Intermediate Developer.txt"
"Montreal, Quebec, Canada","Developpeur - Developpeuse full stack","Alborea","","/textFiles/Alborea - Developpeur - Developpeuse full stack.txt"
"Montreal, Quebec, Canada","Software Developer - Developpeur logiciel - Computer Vision","Genetec","","/textFiles/Genetec - Software Developer - Developpeur logiciel - Computer Vision.txt"
"Montreal, Quebec, Canada","Developpeur de logiciels Java","MindGeek","","/textFiles/MindGeek - Developpeur de logiciels Java.txt"
